#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,傀異錬成初期コスト,傀異錬成最大防御＋,傀異錬成2スロ追加時最大防御＋
カムラノ装【手甲】覇,0,4,2,0,0,,30,50,2,0,0,0,0,見切り,2,火事場力,1,,,,,,,カブレライト鉱石,2,鉄鉱石,3,,,,,,,,,,,10,0,0,0
レザーＳグラブ,0,4,1,1,0,,30,50,0,0,0,0,0,地質学,1,特殊射撃強化,1,,,,,,,肉厚な上皮,2,鉄鉱石,3,,,,,,,,,,,20,0,0,0
チェーンＳグラブ,0,4,1,1,0,,32,52,0,0,1,0,0,植生学,1,防御,2,,,,,,,カブレライト鉱石,2,ドラグライト鉱石,1,,,,,,,,,,,30,0,0,0
ハンターＳアーム,0,4,2,0,0,,32,52,0,0,0,0,0,納刀術,1,,,,,,,,,ジャグラスの上鱗,2,カブレライト鉱石,1,,,,,,,,,,,40,0,0,0
アロイＳアーム,0,4,1,0,0,,32,52,-1,0,-1,-1,0,水属性攻撃強化,1,見切り,2,,,,,,,グラシスメタル,2,ドラグライト鉱石,3,マカライト鉱石,2,,,,,,,,,50,0,0,0
ボーンＳアーム,0,4,1,1,0,,32,52,0,0,0,-1,0,泥雪耐性,1,スタミナ奪取,1,,,,,,,上質な堅骨,1,上質な毛皮,2,鋭利な爪,1,,,,,,,,,60,0,0,0
スカルダＳマーノ,1,4,1,1,0,,32,52,3,-1,-1,-1,3,力の解放,1,毒耐性,1,,,,,,,毒クモリ,2,上質な腹袋,1,鋭利な牙,2,,,,,,,,,70,0,0,0
スパイオＳマーノ,2,4,1,1,0,,32,52,3,-1,-1,-1,3,力の解放,1,毒耐性,1,,,,,,,毒クモリ,2,上質な腹袋,1,鋭利な牙,2,,,,,,,,,80,0,0,0
ブナハＳグローブ,0,4,1,0,0,,34,54,-2,0,0,0,2,毒属性強化,2,回避性能,1,,,,,,,飛甲虫の堅殻,2,上質な腹袋,1,飛甲虫の羽,2,大地の結晶,3,,,,,,,90,0,0,0
イズチＳアーム,0,4,1,1,0,,36,56,2,-1,-2,0,0,体術,2,,,,,,,,,鎌鼬竜の上皮,3,鎌鼬竜の上刃尾,2,鋭利な爪,1,イズチの刃尾,1,,,,,,,100,0,0,0
バギィＳアーム,0,4,1,1,0,,36,56,-4,-1,-1,2,1,睡眠耐性,2,氷属性攻撃強化,1,,,,,,,眠狗竜の尖爪,3,昏睡袋,2,バギィの上鱗,2,,,,,,,,,110,0,0,0
クルルＳアーム,0,4,2,0,0,,38,58,0,-3,0,1,0,ＫＯ術,1,スタミナ奪取,2,,,,,,,掻鳥の上皮,3,掻鳥の大クチバシ,2,上竜骨,2,鳥竜玉,1,,,,,,,120,0,0,0
フロギィＳアーム,0,4,3,0,0,,38,58,2,-2,1,-4,0,装填拡張,1,,,,,,,,,毒狗竜の堅腕甲,4,猛毒袋,2,上竜骨,2,カブレライト鉱石,1,,,,,,,130,0,0,0
