#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,傀異錬成初期コスト,傀異錬成最大防御＋,傀異錬成2スロ追加時最大防御＋
カムラノ装【腰巻】覇,0,4,1,1,0,,30,50,2,0,0,0,0,翔蟲使い,1,見切り,1,,,,,,,カブレライト鉱石,1,イズチの剛毛,1,,,,,,,,,,,10,0,0,0
レザーＳベルト,0,4,1,0,0,,30,50,0,0,0,0,0,体力回復量ＵＰ,1,腹減り耐性,2,,,,,,,ファンゴの上毛皮,1,大地の結晶,3,,,,,,,,,,,20,0,0,0
チェーンＳベルト,0,4,1,1,0,,32,52,0,0,1,0,0,植生学,1,ガード性能,1,,,,,,,カブレライト鉱石,2,鉄鉱石,3,,,,,,,,,,,30,0,0,0
ハンターＳコイル,0,4,1,1,0,,32,52,0,0,0,0,0,気絶耐性,2,,,,,,,,,ジャグラスの上皮,2,ジャグラスの上鱗,1,,,,,,,,,,,40,0,0,0
アロイＳコイル,0,4,1,1,0,,32,52,-1,0,-1,-1,0,水属性攻撃強化,2,見切り,1,,,,,,,グラシスメタル,2,大地の結晶,3,マカライト鉱石,2,,,,,,,,,50,0,0,0
ボーンＳコイル,0,4,2,1,0,,32,52,0,0,0,-1,0,集中,1,,,,,,,,,ねじれた堅怪骨,2,咬魚の上ヒゲ,2,鋭利な牙,1,,,,,,,,,60,0,0,0
スカルダＳアンカ,1,4,0,0,0,,32,52,3,-1,-1,-1,3,弱点特効,2,,,,,,,,,毒クモリ,1,上質な腹袋,2,泥翁竜の逆鱗,1,,,,,,,,,70,0,0,0
スパイオＳアンカ,2,4,0,0,0,,32,52,3,-1,-1,-1,3,弱点特効,2,,,,,,,,,毒クモリ,1,上質な腹袋,2,泥翁竜の逆鱗,1,,,,,,,,,80,0,0,0
ブナハＳコイル,0,4,1,1,0,,34,54,-2,0,0,0,2,麻痺属性強化,1,回避性能,1,,,,,,,飛甲虫の堅殻,2,モンスターの濃汁,2,臣蜘蛛の糸,2,,,,,,,,,90,0,0,0
イズチＳコイル,0,4,1,1,0,,36,56,2,-1,-2,0,0,見切り,2,,,,,,,,,鎌鼬竜の上毛,3,鎌鼬竜の上皮,1,上質な毛皮,2,,,,,,,,,100,0,0,0
バギィＳコイル,0,4,1,0,0,,36,56,-4,-1,-1,2,1,攻撃,2,睡眠耐性,1,,,,,,,眠狗竜の上皮,2,眠狗竜の尖爪,2,鋭利な牙,2,上竜骨,1,,,,,,,110,0,0,0
クルルＳコイル,0,4,1,1,0,,38,58,0,-3,0,1,0,スタミナ奪取,1,渾身,1,,,,,,,掻鳥の上皮,3,掻鳥の上鱗,2,掻鳥の大飾り羽,2,上質な堅骨,1,,,,,,,120,0,0,0
フロギィＳコイル,0,4,1,0,0,,38,58,2,-2,1,-4,0,装填拡張,1,毒属性強化,2,,,,,,,毒狗竜の上皮,3,毒狗竜の堅腕甲,2,フロギィの上鱗,2,,,,,,,,,130,0,0,0
アシラＳコイル,0,4,1,1,0,,36,56,-2,0,-2,0,0,逆襲,1,防御,1,,,,,,,青熊獣の剛毛,4,青熊獣の堅殻,1,堅牢な骨,1,,,,,,,,,140,0,0,0
ウルクＳコイル,0,4,2,0,0,,36,56,-3,1,0,3,0,体術,2,,,,,,,,,白兎獣の剛毛,4,白兎獣の凍爪,1,上質な毛皮,2,,,,,,,,,150,0,0,0
アケノＳコイル,0,4,3,1,0,,38,58,3,-3,-1,0,0,納刀術,1,,,,,,,,,傘鳥の大トサカ,1,傘鳥の上羽鱗,3,鎌鼬竜の上皮,2,,,,,,,,,160,0,0,0
フルフルＳコイル,0,4,1,1,0,,38,58,-4,1,4,2,1,集中,1,ＫＯ術,1,,,,,,,真珠色の柔皮,3,怪しげな鋭牙,2,上質な毛皮,1,ドラグライト鉱石,2,,,,,,,170,0,0,0
ヨツミＳコイル,0,4,2,0,0,,40,60,-1,4,-2,1,0,火事場力,2,,,,,,,,,河童蛙の上皮,4,河童蛙の大皿,2,河童蛙の苔堅甲,1,大地の結晶,4,,,,,,,180,0,0,0
インゴットＳコイル,0,4,2,0,0,,40,58,-1,-1,1,0,0,強化持続,2,,,,,,,,,ユニオン鉱石,1,ドラグライト鉱石,3,グラシスメタル,1,毒狗竜の上皮,2,,,,,,,190,0,0,0
エーデルＳオッハ,0,4,2,0,0,,40,58,-1,3,-1,0,0,体力回復量ＵＰ,1,,,,,,,,,星見の麗花,2,大水袋,1,流水草,2,水生獣の上皮,2,,,,,,,200,0,0,0
